org_name,org_website,opportunity_name,opportunity_type,location,application_open_date,deadline,application_url,info_page_url,what_it_supports,who_qualifies,entry_fee,award_amount,mediums_supported,source_link,extraction_date,link_status,notes
Yellow Studio,https://yellowstudiony.com/,Yellow Residency,Residencies,"Cross River, New York, USA",Rolling,Rolling,https://yellowstudiony.com/yellow-residency/,https://yellowstudiony.com/yellow-residency/,multidisciplinary creative practice; studio residency,"- Artists/creative women
- Able to commit 1-3 month residency
- Will provide a talk/presentation/workshop",$50 USD,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Applications accepted on a rolling basis; next availability noted as June 2026. Residency includes $200/month studio fee (from info page).
Museum of Outdoor Arts (MOA),https://moaonline.org/,2026 Design and Build Fellowship,Fellowships,"Greenwood Village, Colorado, USA",Rolling,Rolling,https://moaonline.org/fellowship-call/,https://moaonline.org/fellowship-call/,public art design-build projects; collaborative art-making,"- Experience teaching/mentoring student artists
- Able to lead collaborative public art projects
- Comfortable working with diverse materials in a studio setting",Free,Not specified,Sculpture / Three-dimensional art (public art),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Apply by emailing materials to apply@moaonline.org; page states the opportunity is open until filled.
Grant Wood Art Colony (University of Iowa),https://grantwood.uiowa.edu/,Interdisciplinary Performance-Theatre Fellowship,Fellowships,"Iowa City, Iowa, USA",January (annual),Not specified,http://jobs.uiowa.edu,https://grantwood.uiowa.edu/fellowship/interdisciplinary-performance,interdisciplinary performance; digital media/new technologies,"- MFA/MA/PhD in theatre or related discipline, or equivalent professional experience
- Expertise in digital media/new/emerging technologies for live performance
- Ability to work with students and colleagues in a performing arts setting",Free,"$40,000 salary + benefits; housing + studio",Performance (digital media/new media),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Applications open annually in January per fellowship program page; deadline not specified.
Grant Wood Art Colony (University of Iowa),https://grantwood.uiowa.edu/,Painting & Drawing Fellowship,Fellowships,"Iowa City, Iowa, USA",January (annual),Not specified,http://jobs.uiowa.edu,https://grantwood.uiowa.edu/fellowship/painting-drawing,painting and drawing,"- Submit CV with recent work documentation (20 images)
- Provide letter of interest and 1-page artist statement
- Provide 3 professional references",Free,Salary + housing + studio (amount not specified),Painting / Drawing / Illustration,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Eligibility details beyond application materials not specified on page; deadline not listed.
Grant Wood Art Colony (University of Iowa),https://grantwood.uiowa.edu/,Printmaking Fellowship,Fellowships,"Iowa City, Iowa, USA",January (annual),Not specified,http://jobs.uiowa.edu,https://grantwood.uiowa.edu/fellowship/printmaking,printmaking,"- Submit CV with recent work documentation (20 images)
- Provide letter of interest and 1-page artist statement
- Provide 3 professional references",Free,Salary + housing + studio (amount not specified),Painting / Drawing / Illustration (printmaking),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Eligibility details beyond application materials not specified on page; deadline not listed.
The Hambidge Center,https://www.hambidge.org/,Hambidge Residency Program,Residencies,"Rabun Gap, Georgia, USA",December 1 / March 1 / August 1 (annual windows),January 15 / April 15 / September 15,https://hambidge.slideroom.com/#/Login,https://www.hambidge.org/guidelines-apply,self-directed residency; private studio; creative research,"- Professional creative practice (not a hobby)
- Emerging, mid-career, or established creatives
- Open to all backgrounds and disciplines",$30 USD (fee waiver available),Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,requires_login,Slideroom login required to apply; fee waiver request due 4 days before application deadline.
The Factory on Willow,https://www.factoryonwillow.com/,Artist in Residence (AIR) Program,Residencies,"Manchester, New Hampshire, USA",Rolling,Rolling,https://www.factoryonwillow.com/air-application,https://www.factoryonwillow.com/air,live/work residency; studio apartment; exhibitions and community events,"- Artists across disciplines; emerging artists emphasized
- Submit CV/artist statement, portfolio, and project proposal",Free,Studio apartment + utilities,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Page notes ?Status: Application Closed? while also stating rolling deadline; verify current status.
Art Omi,https://artomi.org/,Art Omi: Architecture Residency,Residencies,"Ghent, New York, USA",August 12 (annual),2026-10-15 00:00:00,https://artomi.org/residencies/architecture/,https://artomi.org/residencies/architecture/,"architecture; experimentation at intersection of architecture, art, landscape","- Early- to mid-career architects
- Submit architect statement, project proposal, portfolio, resume/CV",Not specified,Not specified,Sculpture / Three-dimensional art (architecture),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Open call period listed on Art Omi Residency FAQs page.
Art Omi,https://artomi.org/,Art Omi: Artists Residency,Residencies,"Ghent, New York, USA",August 12 (annual),2026-10-15 00:00:00,https://artomi.org/residencies/art/,https://artomi.org/residencies/art/,visual arts; international cohort; creative exchange,"- Artists with at least five years of demonstrated art practice
- Submit bio, CV, artist statement, and work samples
- Alumni not eligible for a second residency",Not specified,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Open call period listed on Art Omi Residency FAQs page.
Art Omi,https://artomi.org/,Art Omi: Dance Residency,Residencies,"Ghent, New York, USA",Not specified,Not specified,https://artomi.org/residencies/dance/,https://artomi.org/residencies/dance/,dance; collaborative creative exchange,"- Accomplished dance artists
- Submit bio, headshot, statement, recommendation letter, and work samples",Not specified,Not specified,Performance,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,FAQ page notes that an open call will not be held for the 2026 edition; verify next open call.
Art Omi,https://artomi.org/,Art Omi: Music Residency,Residencies,"Ghent, New York, USA",August 12 (annual),2026-10-15 00:00:00,https://artomi.org/residencies/music/,https://artomi.org/residencies/music/,music and composition; collaborative residency,"- Musicians/composers from around the world
- Submit bio, narrative, and work sample (audio/video)",Not specified,Not specified,Sound / Music (experimental + industry),https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Open call period listed on Art Omi Residency FAQs page.
Art Omi,https://artomi.org/,Art Omi: Writers Residency,Residencies,"Ghent, New York, USA",August 12 (annual),2026-10-15 00:00:00,https://artomi.org/residencies/writers/,https://artomi.org/residencies/writers/,writing and translation; international literary exchange,"- Authors/translators
- Submit cover letter (country of birth/residency, language, dates), CV, writing sample, work description
- Alumni may reapply after five years",Not specified,Not specified,Other: writing/literature,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Open call period listed on Art Omi Residency FAQs page; Translation Lab has separate open call early in the year.
Maryland State Arts Council,https://msac.org/,Creativity Grants for Projects,Grants,"Maryland, USA",July 2025 (rolling window),Rolling,https://marylandarts.smartsimple.com/,https://msac.org/programs/creativity-grants/creativity-grants-projects,planning and implementation of arts projects,"- Independent artists
- Maryland 501(c)(3) nonprofits or local government units
- Maryland colleges/universities/schools
- Fiscal sponsorship allowed under Model A",Free,"$1,000-$4,000",Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,requires_login,Applications accepted on a rolling basis from July 2025 through March 2026 (per info page).
East Central Regional Arts Council (ECRAC),https://www.ecrac.org/,ECRAC Resiliency Grant for Individuals,Grants,"East Central Minnesota, USA",Rolling,Rolling,https://www.grantinterface.com/Home/Logon?urlkey=ecrac,https://www.ecrac.org/grants/individual/ecrac-resiliency-grant-individuals,"urgent needs, emergency travel, equipment replacement, time-sensitive opportunities","- Individual artists
- Culture bearers preserving cultural traditions
- 501(c)(3) arts organizations in East Central Minnesota",Not specified,Up to $600,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Applications submitted via ECRAC Grant Portal; rolling deadline listed on page. Info page is public; application portal requires login.
East Central Regional Arts Council (ECRAC),https://www.ecrac.org/,ECRAC Mid-Career Artist Grant,Grants,"East Central Minnesota, USA",Not specified,October 1 / February 1 / April 1,https://www.grantinterface.com/Home/Logon?urlkey=ecrac,https://www.ecrac.org/grants/individual/ecrac-mid-career-artist-grant,"project-based support for artistic growth, experimentation, collaboration, or art career development","- Mid-career artists or culture bearers (see guidelines PDF)
- Project-based application required",Not specified,"Up to $3,600",Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Eligibility details are referenced in guidelines PDF; not fully specified on page. Info page is public; application portal requires login.
East Central Regional Arts Council (ECRAC),https://www.ecrac.org/,ECRAC Essential Artist Award,Awards,"East Central Minnesota, USA",Not specified,2026-03-01 00:00:00,https://www.grantinterface.com/Home/Logon?urlkey=ecrac,https://www.ecrac.org/grants/individual/ecrac-essential-artist-award,recognition and support for outstanding professional artists/culture bearers,"- Professional artists or culture bearers (see guidelines PDF)
- Application via ECRAC portal",Not specified,9000.0,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,requires_login,Eligibility details referenced in guidelines PDF; not fully specified on page.
East Central Regional Arts Council (ECRAC),https://www.ecrac.org/,ECRAC Resiliency Grants for Artists/Culture Bearers and Organizations,Grants,"East Central Minnesota, USA",Rolling,"Rolling (through June 30, 2026 or until funds depleted)",https://www.grantinterface.com/Home/Logon?urlkey=ecrac,https://www.ecrac.org/grants-available,emergency/urgent needs; resiliency funding,"- Past, current, or new grantees (per grants-available notice)
- Artists/culture bearers and organizations",Not specified,Not specified,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,verified,Info page is public; application portal requires login. Limited details on this page; see specific grant pages when available.
Illinois Arts Council Agency,https://arts.illinois.gov/,Creative Projects Grant,Grants,"Illinois, USA",Rolling,Open deadline until funds are expended,https://arts.illinois.gov/grant-portal/salesforce.html,https://arts.illinois.gov/granting-opportunities/grants-programs/creative-projects-grant.html,unique arts projects outside regular operations,"- Individual artists/arts educators 21+ with 1+ year Illinois residency
- Illinois 501(c)(3) nonprofits in good standing
- Government entities (municipal, county, libraries, park districts, etc.)",Free,12000.0,Multidisciplinary,https://creative-capital.org/artist-resources/artist-opportunities/,2026-01-19 00:00:00,requires_login,Application portal appears to require account/login; eligibility details sourced from page.
